tranche,hedge_method,scenario_vol_unhedged,scenario_vol_hedged,scenario_vol_reduction,residual_rmse,residual_mean_abs_pnl,worst_case_abs_residual,worst_case_scenario,hedge_w_T1,hedge_w_T2,hedge_w_T3,near_zero_unhedged_flag,rank_group
7Y|3-7,factor_match,0.0403808591003858,0.0011049683012506826,0.9726363349897099,0.0010495011584132337,0.0009897735664496509,0.0015647496760047494,PC2_up_1sigma,0.033260096052699556,-0.4795256655659118,-0.016832159546855806,False,top
7Y|10-15,factor_match,0.025065233573160584,0.0018697262056576686,0.9254055941589254,0.001871376578559228,0.0015825419348712208,0.003445460608269865,PC1_up_PC3_up,-0.14066509838405356,-0.3775416628538817,0.033916724025159536,False,top
7Y|7-10,factor_match,0.02960088417651605,0.0024973803120066527,0.9156315636683597,0.0024410123549480976,0.0021191538729474495,0.004595616271941088,PC2_up_PC3_up,-0.13337485578798988,-0.4060631963330031,0.06889717215685766,False,top
7Y|0-3,factor_match,0.027550026727609082,0.0024861408704040847,0.909759039619638,0.002358561363535252,0.0019723987346505086,0.0032836340719674464,PC1_up_1sigma,-0.027365910495119567,-0.5539239918592557,-0.003463507308661371,False,top
10Y|3-7,factor_match,0.08241160131913637,0.008769084040616465,0.8935940583576522,0.008319133619046874,0.006982959572207725,0.011686361671351064,PC1_up_1sigma,-1.8240274624393404,-0.07227240290299121,0.04787172588893631,False,top
10Y|0-3,factor_match,0.045033196880196316,0.009375948472782069,0.7917991809969589,0.008894809653648823,0.007438479904341927,0.012383523487643357,PC1_up_1sigma,-1.2779942532130288,-0.10320467748526359,-0.013061876922461541,False,top
10Y|7-10,factor_match,0.07135216197003284,0.015009885516197823,0.7896365701924797,0.014249818470592333,0.011720431733803459,0.02092342718369955,PC1_up_PC3_up,-1.9691252917677242,0.02911779113049796,0.02681609630861034,False,top
10Y|10-15,factor_match,0.06279933586584166,0.01568041776076663,0.7503091785195828,0.014876038945445338,0.011800355920311869,0.019655578037206453,PC2_up_PC3_up,-1.9233388772285507,-0.13790102213257785,0.055213985670293564,False,top
3Y|7-10,factor_match,0.0031417678029532752,0.0021974969418946033,0.30055399389192716,0.0021947145876452375,0.001449323678665558,0.0035157316579825125,PC1_up_PC3_up,-0.0361994674028007,0.1322264825095557,3.4264714808038235e-16,False,top
3Y|10-15,factor_match,0.0028078497328332948,0.0020354370627697514,0.2750904583786722,0.0020176528435817635,0.0018998759358937023,0.0029456022012941856,PC1_up_PC3_up,-0.009345826500439768,0.0,0.10615488332884913,False,top
5Y|7-10,factor_match,0.0076729860833809555,0.006125931018574401,0.20162359842634747,0.006032123287443482,0.0052384714790830456,0.01160464316019077,PC2_up_PC3_up,0.10734947928651788,-0.12048503722657684,0.03784914941507973,False,bottom
3Y|3-7,factor_match,0.006006407150813204,0.005142586503218935,0.14381653223047275,0.005122229029053456,0.0047226121967850355,0.008434763120684374,PC1_up_PC3_up,-0.039421317515008526,0.21911380693060775,0.006128531114898436,False,bottom
5Y|3-7,factor_match,0.006939647997876085,0.006037009488318648,0.13006978305437022,0.005844582447536239,0.005270659155229665,0.008766925595568312,PC3_up_1sigma,0.26363725083707407,-0.0018592580827434787,0.056574636752545586,False,bottom
2Y|10-15,factor_match,0.0012963382944068205,0.0011439219049089726,0.11757454836863446,0.001114393573732175,0.000984897929298754,0.001703444413670447,PC1_up_PC3_up,0.0,-0.009115532047855085,0.02814232886622331,False,bottom
2Y|0-3,factor_match,0.0014028282309954934,0.0012380481212843,0.11746278416015343,0.001186898379573947,0.000942258710324615,0.00188451742064923,PC1_up_PC2_up,-0.0011854353620425852,-0.005622126973054953,-0.023396756125802786,False,bottom
2Y|7-10,factor_match,0.0015998255925671952,0.0014181106043526298,0.1135842488448835,0.0013549383458635671,0.0012725111424207807,0.0019009849749675911,PC1_up_PC2_up,2.8660614907674066e-16,-0.03451169873663494,0.054991524608946435,False,bottom
5Y|0-3,factor_match,0.013436525849979229,0.012416750176525496,0.075895784731833,0.012102920944316017,0.010580707910244139,0.01891756645496457,PC3_up_1sigma,0.06964521050141616,-0.17228257841758335,-0.05809065170488197,False,bottom
1Y|3-7,factor_match,0.0005904917170369225,0.0005679807331189379,0.03812243807744564,0.0005484602449966992,0.00047005179679365474,0.0008847921275712286,PC1_up_PC2_up,0.0011065086642805492,0.005181991339676531,-0.0002508072343959133,False,bottom
1Y|0-3,factor_match,0.0005904917170371372,0.0005813957750187163,0.015404012886177099,0.0005622202422950654,0.000487656988267933,0.0008991117684469302,PC1_up_PC2_up,-0.0011822981637745521,-0.0032288582803928555,0.0007070658992315336,False,bottom
3Y|0-3,factor_match,0.0030512354660232007,0.0030893452802728794,-0.012489961746331213,0.0029898664350623337,0.0025340284337862238,0.0045046668823300684,PC1_up_PC2_up,-0.005704154568565204,-0.003284660458467751,0.02357949752743954,False,bottom
7Y|0-3,scenario_opt,0.027550026727609082,0.00016290247182636076,0.9940870303525655,0.00015454560095317093,0.0001305263349353887,0.00021600822345220136,PC2_up_1sigma,-0.004679875297507448,-0.6076137061507015,-0.010770393224363734,False,top
7Y|3-7,scenario_opt,0.0403808591003858,0.0002925479273483064,0.9927552822335691,0.00027753547977802973,0.0002450546379438966,0.0004543547220637479,PC1_up_PC2_up,0.1049385927622137,-0.4908611203707166,0.02296040722149431,False,top
10Y|3-7,scenario_opt,0.08241160131913637,0.0007191654242372544,0.9912734928975314,0.0006823055816251974,0.0006230090969284311,0.0010514601987686167,PC1_up_1sigma,-2.0189926112888874,-0.23679966251736617,-0.06629727093008486,False,top
10Y|0-3,scenario_opt,0.045033196880196316,0.0007034819257461764,0.9843785923611491,0.0006673934149386176,0.0005636680427956019,0.0009328150721562289,PC2_up_1sigma,-1.605247778474871,-0.020209685277527728,-0.04651112338312872,False,top
7Y|10-15,scenario_opt,0.025065233573160584,0.000706714485418665,0.9718049910304685,0.0006877117035295027,0.0006168109792098883,0.0010352186320737775,PC1_up_PC2_up,-0.2777896824085714,-0.3708250555365598,0.15934584211545694,False,top
10Y|10-15,scenario_opt,0.06279933586584166,0.002798051289531569,0.955444571969534,0.0026858358325426257,0.0022836808427473257,0.0047587912508538985,PC1_up_PC3_up,-2.604347672962854,0.6149691889640889,-0.39890295391410036,False,top
7Y|7-10,scenario_opt,0.02960088417651605,0.0015606838711892275,0.9472757684573693,0.001496719123645228,0.0013509026675408691,0.002008220425453646,PC3_up_1sigma,-0.2747893131962482,-0.39137728691730417,0.2648079921147528,False,top
10Y|7-10,scenario_opt,0.07135216197003284,0.004422306712876681,0.9380214055078807,0.004223893262023326,0.003816612865301746,0.00586241011104739,PC2_up_PC3_up,-2.4866613346808295,0.6028213430200028,-0.5868933280941374,False,top
2Y|3-7,scenario_opt,0.0013620393786448028,0.0004156035653548149,0.6948667036570333,0.0004018382176073738,0.00033956798773171026,0.0007543820299305631,PC1_up_PC3_up,0.01836567485735145,-0.16163226283800566,0.02016669421914187,False,top
3Y|7-10,scenario_opt,0.0031417678029532752,0.0010794263878434911,0.656427064142415,0.001043976902425106,0.0009695899275171917,0.001578837995478032,PC3_up_1sigma,-0.16174009760328997,0.31228501298264605,8.542671341214359e-16,False,top
3Y|10-15,scenario_opt,0.0028078497328332948,0.0013455121304556264,0.5208033696668228,0.0012907934380350578,0.0011062884628211642,0.0022125769256423284,PC1_up_PC2_up,-0.1405562053163901,0.0,0.22763954997938757,False,bottom
1Y|0-3,scenario_opt,0.0005904917170371372,0.00029717168892687555,0.49673859877667714,0.0002899429566123121,0.00026759567799071265,0.0004404693005286647,PC1_up_PC2_up,-0.03155910185493116,-0.08246827598676258,-0.004161747880708166,False,bottom
5Y|7-10,scenario_opt,0.0076729860833809555,0.004649330563205042,0.39406503378455204,0.00452731029519386,0.0037467490211559188,0.007979378625218525,PC2_up_PC3_up,0.8407630130729823,-0.09589241553582442,0.011674264372942647,False,bottom
5Y|10-15,scenario_opt,0.00911543221467182,0.0055862610947001005,0.3871644302605106,0.005440567095127053,0.004782964951271726,0.009595991329784281,PC1_up_PC3_up,0.7940743909648548,-0.18486053708683808,0.2795294041499841,False,bottom
2Y|10-15,scenario_opt,0.0012963382944068205,0.0008782929373477491,0.32248168465189164,0.000838526480369395,0.0006568976979043327,0.0013120685209731327,PC1_up_PC2_up,0.0,-0.12349235686475477,0.048045320231904845,False,bottom
3Y|3-7,scenario_opt,0.006006407150813204,0.0040698376911180905,0.3224172805922626,0.0039863877412662264,0.0036909226671658995,0.005739182484476013,PC1_up_PC3_up,-0.4720239905476408,0.42946620934469903,0.22271978345261464,False,bottom
5Y|3-7,scenario_opt,0.006939647997876085,0.005295876201657218,0.23686673974270045,0.0050551107907608256,0.004740874002001146,0.007245784362383104,PC1_up_PC2_up,0.5694226113944795,-0.03578401417348788,0.110902065805147,False,bottom
2Y|7-10,scenario_opt,0.0015998255925671952,0.0012624664993056835,0.2108724193617637,0.0012021575458858057,0.0011119395722863274,0.0018092801682507143,PC1_up_PC2_up,3.6040526414134654e-16,-0.15336894314299754,0.028829459460804337,False,bottom
3Y|0-3,scenario_opt,0.0030512354660232007,0.0026203690182571675,0.14121048754313248,0.00255654469294361,0.002261696233288801,0.004035112082433029,PC1_up_PC3_up,-0.2904829661478125,-0.14269538557946979,0.006269301690446049,False,bottom
5Y|0-3,scenario_opt,0.013436525849979229,0.012091987608455139,0.10006591410131271,0.011776198000606386,0.010261633858144563,0.01824653355249315,PC3_up_1sigma,0.31641505813094095,-0.18219442657229365,-0.5759341294929955,False,bottom
