Date,Tenor,OIS_Rate
2024-11-19,1W,3.8927
2024-11-19,2W,3.894
2024-11-19,3W,3.886
2024-11-19,1M,3.8659
2024-11-19,2M,3.8426
2024-11-19,3M,3.8026
2024-11-19,4M,3.778
2024-11-19,5M,3.7474
2024-11-19,6M,3.7197
2024-11-19,7M,3.694
2024-11-19,8M,3.6608
2024-11-19,9M,3.6269
2024-11-19,10M,3.5961
2024-11-19,11M,3.5658
2024-11-19,12M,3.5337
2024-11-19,18M,3.3773
2024-11-19,2Y,3.31
2024-11-19,3Y,3.275
2024-11-19,4Y,3.297
2024-11-19,5Y,3.3423
2024-11-19,6Y,3.4007
2024-11-19,7Y,3.4629
2024-11-19,8Y,3.5246
2024-11-19,9Y,3.5849
2024-11-19,10Y,3.6433
2024-11-19,12Y,3.7512
2024-11-19,15Y,3.8785
2024-11-19,20Y,3.9823
2024-11-19,25Y,3.9929
2024-11-19,30Y,3.9622
2024-11-19,40Y,3.8544
2024-11-19,50Y,3.7387
2024-11-20,1W,3.8909249305725098
2024-11-20,2W,3.891900062561035
2024-11-20,3W,3.8740000724792454
2024-11-20,1M,3.85159993171692
2024-11-20,2M,3.82398509979248
2024-11-20,3M,3.78346014022827
2024-11-20,4M,3.7589499950408953
2024-11-20,5M,3.72475004196167
2024-11-20,6M,3.69192028045654
2024-11-20,7M,3.665894985198975
2024-11-20,8M,3.62975001335144
2024-11-20,9M,3.5933151245117196
2024-11-20,10M,3.5600852966308603
2024-11-20,11M,3.5264849662780797
2024-11-20,12M,3.4967000484466553
2024-11-20,18M,3.33616495132446
2024-11-20,2Y,3.26850154291403
2024-11-20,3Y,3.234239078550515
2024-11-20,4Y,3.257212749049955
2024-11-20,5Y,3.3023148998494003
2024-11-20,6Y,3.36103981745801
2024-11-20,7Y,3.4265166204261552
2024-11-20,8Y,3.48841550871107
2024-11-20,9Y,3.549198986224255
2024-11-20,10Y,3.60752521261599
2024-11-20,12Y,3.717210391179705
2024-11-20,15Y,3.84704974445448
2024-11-20,20Y,3.9517280609602903
2024-11-20,25Y,3.96701111394583
2024-11-20,30Y,3.93388616334964
2024-11-20,40Y,3.823302874569555
2024-11-20,50Y,3.71008005750064
2024-11-21,1W,3.8976
2024-11-21,2W,3.8994
2024-11-21,3W,3.8575
2024-11-21,1M,3.8131
2024-11-21,2M,3.7659
2024-11-21,3M,3.7293
2024-11-21,4M,3.7088
2024-11-21,5M,3.6777
2024-11-21,6M,3.6503
2024-11-21,7M,3.6248
2024-11-21,8M,3.5906
2024-11-21,9M,3.5564
2024-11-21,10M,3.5253
2024-11-21,11M,3.4949
2024-11-21,12M,3.4649
2024-11-21,18M,3.3091
2024-11-21,2Y,3.2426
2024-11-21,3Y,3.2065
2024-11-21,4Y,3.2295
2024-11-21,5Y,3.2742
2024-11-21,6Y,3.3339
2024-11-21,7Y,3.3995
2024-11-21,8Y,3.4625
2024-11-21,9Y,3.5254
2024-11-21,10Y,3.5867
2024-11-21,12Y,3.7
2024-11-21,15Y,3.8311
2024-11-21,20Y,3.9403
2024-11-21,25Y,3.9548
2024-11-21,30Y,3.9282
2024-11-21,40Y,3.825
2024-11-21,50Y,3.7117
2024-11-24,1W,3.897000074
2024-11-24,2W,3.901499987
2024-11-24,3W,3.844000101
2024-11-24,1M,3.790120125
2024-11-24,2M,3.735499859
2024-11-24,3M,3.701850414
2024-11-24,4M,3.683202744
2024-11-24,5M,3.654099941
2024-11-24,6M,3.628600121
2024-11-24,7M,3.603425026
2024-11-24,8M,3.570250034
2024-11-24,9M,3.53670001
2024-11-24,10M,3.503399849
2024-11-24,11M,3.475660324
2024-11-24,12M,3.445340157
2024-11-24,18M,3.290164948
2024-11-24,2Y,3.221241802
2024-11-24,3Y,3.181557608
2024-11-24,4Y,3.202158039
2024-11-24,5Y,3.243157779
2024-11-24,6Y,3.300513243
2024-11-24,7Y,3.362511208
2024-11-24,8Y,3.425751061
2024-11-24,9Y,3.487774971
2024-11-24,10Y,3.547964873
2024-11-24,12Y,3.65865895
2024-11-24,15Y,3.789440434
2024-11-24,20Y,3.898814232
2024-11-24,25Y,3.913071222
2024-11-24,30Y,3.883683578
2024-11-24,40Y,3.783116798
2024-11-24,50Y,3.667273363
2024-11-25,1W,3.8884
2024-11-25,2W,3.8763
2024-11-25,3W,3.822
2024-11-25,1M,3.7691
2024-11-25,2M,3.7286
2024-11-25,3M,3.6943
2024-11-25,4M,3.6707
2024-11-25,5M,3.6462
2024-11-25,6M,3.62
2024-11-25,7M,3.5916
2024-11-25,8M,3.5593
2024-11-25,9M,3.5232
2024-11-25,10M,3.4911
2024-11-25,11M,3.4604
2024-11-25,12M,3.4283
2024-11-25,18M,3.2662
2024-11-25,2Y,3.1926
2024-11-25,3Y,3.1472
2024-11-25,4Y,3.166
2024-11-25,5Y,3.2074
2024-11-25,6Y,3.2661
2024-11-25,7Y,3.3298
2024-11-25,8Y,3.3946
2024-11-25,9Y,3.4578
2024-11-25,10Y,3.5189
2024-11-25,12Y,3.6342
2024-11-25,15Y,3.7675
2024-11-25,20Y,3.8772
2024-11-25,25Y,3.8954
2024-11-25,30Y,3.8676
2024-11-25,40Y,3.7672
2024-11-25,50Y,3.6531
2024-11-26,1W,3.897000074
2024-11-26,2W,3.830249786
2024-11-26,3W,3.775000095
2024-11-26,1M,3.746250153
2024-11-26,2M,3.712249994
2024-11-26,3M,3.68475008
2024-11-26,4M,3.661000013
2024-11-26,5M,3.639204979
2024-11-26,6M,3.613899946
2024-11-26,7M,3.587199926
2024-11-26,8M,3.553299904
2024-11-26,9M,3.522599936
2024-11-26,10M,3.492249966
2024-11-26,11M,3.46124506
2024-11-26,12M,3.432700157
2024-11-26,18M,3.274800062
2024-11-26,2Y,3.207579407
2024-11-26,3Y,3.166805062
2024-11-26,4Y,3.18443681
2024-11-26,5Y,3.22320087
2024-11-26,6Y,3.279257853
2024-11-26,7Y,3.341783184
2024-11-26,8Y,3.405224211
2024-11-26,9Y,3.467914779
2024-11-26,10Y,3.528606184
2024-11-26,12Y,3.642527794
2024-11-26,15Y,3.773336669
2024-11-26,20Y,3.884556245
2024-11-26,25Y,3.899814163
2024-11-26,30Y,3.873826981
2024-11-26,40Y,3.770377971
2024-11-26,50Y,3.654255645
2024-12-01,1W,3.89345026
2024-12-01,2W,3.795550346
2024-12-01,3W,3.746000052
2024-12-01,1M,3.724950314
2024-12-01,2M,3.697639942
2024-12-01,3M,3.674490452
2024-12-01,4M,3.653999806
2024-12-01,5M,3.633399963
2024-12-01,6M,3.614059925
2024-12-01,7M,3.591320038
2024-12-01,8M,3.564399958
2024-12-01,9M,3.534850121
2024-12-01,10M,3.506545067
2024-12-01,11M,3.482029915
2024-12-01,12M,3.456550122
2024-12-01,18M,3.31701994
2024-12-01,2Y,3.261819637
2024-12-01,3Y,3.236632143
2024-12-01,4Y,3.264097643
2024-12-01,5Y,3.311854745
2024-12-01,6Y,3.370280047
2024-12-01,7Y,3.433616306
2024-12-01,8Y,3.497754293
2024-12-01,9Y,3.561330749
2024-12-01,10Y,3.62212237
2024-12-01,12Y,3.735869629
2024-12-01,15Y,3.867065202
2024-12-01,20Y,3.979689019
2024-12-01,25Y,3.995623249
2024-12-01,30Y,3.968565675
2024-12-01,40Y,3.865733176
2024-12-01,50Y,3.752306113
2024-12-02,1W,3.893650055
2024-12-02,2W,3.777050018
2024-12-02,3W,3.7319998745
2024-12-02,1M,3.715600014
2024-12-02,2M,3.687385082
2024-12-02,3M,3.6628603935
2024-12-02,4M,3.6391999725
2024-12-02,5M,3.6208000185
2024-12-02,6M,3.599999905
2024-12-02,7M,3.57446003
2024-12-02,8M,3.5482001305
2024-12-02,9M,3.519350052
2024-12-02,10M,3.4923000335000003
2024-12-02,11M,3.467000008
2024-12-02,12M,3.441950083
2024-12-02,18M,3.3057999615
2024-12-02,2Y,3.252131997
2024-12-02,3Y,3.229681832
2024-12-02,4Y,3.2587999585
2024-12-02,5Y,3.307756406
2024-12-02,6Y,3.3684684715
2024-12-02,7Y,3.433690775
2024-12-02,8Y,3.49769052
2024-12-02,9Y,3.561100454
2024-12-02,10Y,3.622819343
2024-12-02,12Y,3.7364896345
2024-12-02,15Y,3.869400264
2024-12-02,20Y,3.982188997
2024-12-02,25Y,3.997272195
2024-12-02,30Y,3.9706852695
2024-12-02,40Y,3.8676825965
2024-12-02,50Y,3.7540051525
2024-12-03,1W,3.855999947
2024-12-03,2W,3.759449959
2024-12-03,3W,3.722000122
2024-12-03,1M,3.707870007
2024-12-03,2M,3.681250095
2024-12-03,3M,3.65805006
2024-12-03,4M,3.633699894
2024-12-03,5M,3.612450123
2024-12-03,6M,3.590250015
2024-12-03,7M,3.563420296
2024-12-03,8M,3.535459995
2024-12-03,9M,3.50372982
2024-12-03,10M,3.478835106
2024-12-03,11M,3.452199936
2024-12-03,12M,3.425700188
2024-12-03,18M,3.289799929
2024-12-03,2Y,3.238451259
2024-12-03,3Y,3.216171688
2024-12-03,4Y,3.244067228
2024-12-03,5Y,3.292113632
2024-12-03,6Y,3.353460807
2024-12-03,7Y,3.418646997
2024-12-03,8Y,3.484521737
2024-12-03,9Y,3.54852684
2024-12-03,10Y,3.610702224
2024-12-03,12Y,3.726703093
2024-12-03,15Y,3.861265359
2024-12-03,20Y,3.975260673
2024-12-03,25Y,3.993274795
2024-12-03,30Y,3.968185679
2024-12-03,40Y,3.865733428
2024-12-03,50Y,3.751356261
